BEDROOM_NUM_CLEAN,TOTAL_FLOOR,FEATURE_COUNT,AMENITY_COUNT,LANDMARK_COUNT,FLOOR_RATIO,BALCONY_NUM,AREA_SQFT,LATITUDE,LONGITUDE,LOCALITY_MEDIAN_PRICE,LISTING_AGE_DAYS,IS_READY_TO_MOVE,IS_UNDER_CONSTR,IS_RERA,IS_RESALE,IS_NEW_BOOKING,IS_VERIFIED,HAS_SOCIETY,IS_TOP_FLOOR,IS_GROUND_FLOOR,PROP_TYPE_CLEAN,FURNISH_LABEL,FACING_LABEL,AGE_LABEL,TRANSACT_LABEL,AREA_BUCKET,BALCONY_BUCKET,LOCALITY,SPID,PROP_ID,TARGET_PRICE_SQFT,LOG_PRICE_SQFT,PRICE_INR,AREA_SQFT,LOCALITY,PROP_TYPE_CLEAN,PRICE_PER_BED,LISTING_AGE_DAYS,LOCALITY_MEDIAN_PRICE
2.0,17.0,0,0,13.0,0.058823529411764705,,1227.5,17.503037,78.3656163,8000.0,30.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,69962348,Z69962348,6699.0,8.809862805379057,8222999.999999999,1227.5,: ,Apartment,4111499.9999999995,30.0,8000.0
10.0,4.0,0,6,49.0,,3.0,3000.0,17.4609913,78.3532083,6400.0,30.0,0,0,0,0,0,0,1,0,0,Villa,Semi_Furnished,Unknown,Under_Construction,Unknown,XL,3+,Kondapur,70424804,C70424804,4.0,1.6094379124341003,1300000000.0,3000.0,Kondapur,Villa,130000000.0,30.0,6400.0
4.0,0.0,0,0,9.0,,,3632.5,17.49595,78.22362,8000.0,21.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,70596320,P70596320,10000.0,9.210440366976517,36300000.0,3632.5,: ,Villa,9075000.0,21.0,8000.0
3.0,0.0,0,0,15.0,,,2252.5,17.614161,78.396509,8000.0,30.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,70355528,N70355528,6800.0,8.824824939175638,15300000.0,2252.5,: ,Villa,5100000.0,30.0,8000.0
3.0,13.0,0,0,11.0,0.07692307692307693,,1449.0,17.566805,78.361544,8000.0,14.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,70700806,C70700806,4850.0,8.486940148245216,7028000.0,1449.0,: ,Apartment,2342666.6666666665,14.0,8000.0
3.0,20.0,0,0,8.0,0.05,,1480.0,17.5203106,78.488661,8000.0,21.0,1,0,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Very_Old,Rent,Medium,None,: ,70545924,C70545924,5650.0,8.639587799629844,8362000.0,1480.0,: ,Apartment,2787333.3333333335,21.0,8000.0
4.0,0.0,0,0,14.0,,,4075.5,17.20614,78.45927,8000.0,120.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,68275254,Y68275254,7500.0,8.922791623969637,30600000.0,4075.5,: ,Villa,7650000.0,120.0,8000.0
3.0,11.0,0,0,15.0,0.09090909090909091,,1987.5,17.449877,78.242907,8000.0,2.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,70989068,Q70989068,5500.0,8.612685172875459,432900000.0,1987.5,: ,Apartment,144300000.0,2.0,8000.0
2.0,11.0,0,0,15.0,0.09090909090909091,,1340.0,17.449877,78.242907,8000.0,2.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,70989064,Z70989064,5500.0,8.612685172875459,7369999.999999999,1340.0,: ,Apartment,3684999.9999999995,2.0,8000.0
3.0,9.0,0,0,11.0,0.1111111111111111,,1985.0,17.39382,78.33795,8000.0,21.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,70572350,C70572350,7299.0,8.895629627136483,504050000.0,1985.0,: ,Apartment,168016666.66666666,21.0,8000.0
2.0,9.0,0,0,11.0,0.1111111111111111,,1320.0,17.39382,78.33795,8000.0,21.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,70572348,J70572348,7299.0,8.895629627136483,401599999.99999994,1320.0,: ,Apartment,200799999.99999997,21.0,8000.0
4.0,0.0,0,0,6.0,,,3717.0,17.5631,78.29052,8000.0,30.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,70277462,X70277462,5400.0,8.594339400592892,20050000.0,3717.0,: ,Villa,5012500.0,30.0,8000.0
3.0,0.0,0,0,6.0,,,2820.0,17.5631,78.29052,8000.0,30.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,70277460,N70277460,5400.0,8.594339400592892,15200000.0,2820.0,: ,Villa,5066666.666666667,30.0,8000.0
4.0,0.0,0,0,15.0,,,3921.5,17.484218,78.339065,8000.0,60.0,1,0,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Very_Old,Rent,XL,None,: ,69481360,V69481360,22413.0,10.017441042611972,88250000.0,3921.5,: ,Villa,22062500.0,60.0,8000.0
3.0,16.0,0,0,13.0,0.0625,,1821.5,17.38458,78.367,8000.0,150.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,68233170,S68233170,6500.0,8.77971129020447,11850000.0,1821.5,: ,Apartment,3950000.0,150.0,8000.0
2.0,16.0,0,0,13.0,0.0625,,1423.5,17.38458,78.367,8000.0,150.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,68233166,C68233166,6500.0,8.77971129020447,426250000.0,1423.5,: ,Apartment,213125000.0,150.0,8000.0
3.0,10.0,0,0,13.0,0.1,,2257.0,17.395401,78.36864,8000.0,150.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,67626478,O67626478,6700.0,8.81001204797317,15099999.999999998,2257.0,: ,Apartment,5033333.333333333,150.0,8000.0
2.0,10.0,0,0,13.0,0.1,,1360.5,17.395401,78.36864,8000.0,150.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,67626474,N67626474,6700.0,8.81001204797317,9115500.0,1360.5,: ,Apartment,4557750.0,150.0,8000.0
4.0,0.0,0,0,5.0,,,6177.5,17.25767787082,78.4,8000.0,240.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,XXL,None,: ,66434962,X66434962,12000.0,9.392745258631441,74150000.0,6177.5,: ,Villa,18537500.0,240.0,8000.0
3.0,10.0,0,0,15.0,0.1,,1590.0,17.52996,78.34227,8000.0,120.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,68386930,T68386930,5899.0,8.68270762989381,439200000.0,1590.0,: ,Apartment,146400000.0,120.0,8000.0
2.0,10.0,0,0,15.0,0.1,,1192.0,17.52996,78.34227,8000.0,120.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Small,None,: ,68386926,B68386926,6000.0,8.699681400989514,7152000.000000001,1192.0,: ,Apartment,3576000.0000000005,120.0,8000.0
3.0,0.0,0,0,8.0,,,3369.0,17.428952,78.197469,8000.0,5.0,1,0,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Very_Old,Rent,XL,None,: ,70922972,B70922972,8700.0,9.071193240566025,29299999.999999996,3369.0,: ,Villa,9766666.666666666,5.0,8000.0
4.0,0.0,0,0,4.0,,,4170.5,17.523851,78.254744,8000.0,30.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,70107526,O70107526,12900.0,9.465060106725137,53800000.0,4170.5,: ,Villa,13450000.0,30.0,8000.0
3.0,14.0,0,0,12.0,0.07142857142857142,,1790.0,17.51485,78.385716,8000.0,150.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,68232860,Z68232860,6800.0,8.824824939175638,12149999.999999998,1790.0,: ,Apartment,4049999.9999999995,150.0,8000.0
2.0,14.0,0,0,12.0,0.07142857142857142,,1307.5,17.51485,78.385716,8000.0,150.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,68232854,Y68232854,6800.0,8.824824939175638,8891000.0,1307.5,: ,Apartment,4445500.0,150.0,8000.0
3.0,7.0,0,0,15.0,0.14285714285714285,,1614.5,17.469326,78.279374,8000.0,60.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,69601964,M69601964,6213.0,8.734560089952993,487650000.0,1614.5,: ,Apartment,162550000.0,60.0,8000.0
2.0,7.0,0,0,15.0,0.14285714285714285,,1288.0,17.469326,78.279374,8000.0,60.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,69601962,K69601962,6213.0,8.734560089952993,8002500.000000001,1288.0,: ,Apartment,4001250.0000000005,60.0,8000.0
