PROP_ID,location,AREA,PRICE,BEDROOM_NUM,MIN_AREA_SQFT,MAX_AREA_SQFT,AMENITIES,AGE,FLOOR_NUM,TOTAL_FLOOR,BALCONY_NUM,TOTAL_LANDMARK_COUNT,REGISTERED_DAYS,PROPERTY_TYPE,FURNISH,FACING,VERIFIED,LAT,LNG
N59939520,unknown,unknown,7800000.0,2.0,1135.0,1135.0,,0.0,6.0,14.0,1.0,50.0,30.0,flat,semi-furnished,east,1,17.399403,78.36901
L69895958,unknown,unknown,5000000.0,2.0,1100.0,1100.0,,20.0,1.0,5.0,1.0,2.0,7.0,house,semi-furnished,north,0,17.557546,78.557555
J70153254,unknown,unknown,11700000.0,2.0,1160.0,1160.0,,20.0,27.0,31.0,1.0,13.0,14.0,flat,semi-furnished,east,1,17.4662476,78.4073169
V69031184,unknown,unknown,16500000.0,3.0,1825.0,1825.0,,2.5,7.0,8.0,1.0,49.0,30.0,flat,furnished,unknown,0,17.4609913,78.3532083
D69531662,unknown,unknown,7500000.0,3.0,2070.0,2070.0,,12.0,1.0,2.0,1.0,1.0,14.0,villa,furnished,north-east,0,17.492871,78.239079
H69456050,unknown,unknown,7500000.0,3.0,2070.0,2070.0,,12.0,1.0,2.0,1.0,50.0,14.0,villa,furnished,east,0,17.5090182,78.3001801
V69456238,unknown,unknown,7500000.0,3.0,2070.0,2070.0,,12.0,1.0,2.0,1.0,7.0,14.0,villa,furnished,east,0,17.543634,78.293712
X69456388,unknown,unknown,7500000.0,3.0,2070.0,2070.0,,12.0,1.0,2.0,1.0,46.0,14.0,villa,furnished,east,0,17.5330867548758,78.2682745858627
E69531748,unknown,unknown,7500000.0,3.0,2070.0,2070.0,,12.0,1.0,2.0,1.0,6.0,14.0,villa,semi-furnished,east,0,17.542319,78.226934
R69531840,unknown,unknown,7500000.0,3.0,2070.0,2070.0,,12.0,1.0,2.0,1.0,6.0,14.0,villa,furnished,east,0,17.548606,78.210422
I69532344,unknown,unknown,16000000.0,3.0,2769.0,2769.0,,12.0,2.0,3.0,1.0,50.0,14.0,villa,furnished,east,0,17.5090182,78.3001801
D69533248,unknown,unknown,16000000.0,3.0,2769.0,2769.0,,12.0,2.0,3.0,1.0,7.0,14.0,villa,furnished,east,0,17.543634,78.293712
C69533644,unknown,unknown,16000000.0,3.0,2769.0,2769.0,,12.0,2.0,3.0,1.0,48.0,14.0,villa,furnished,east,0,17.5316,78.26729
F69534588,unknown,unknown,16000000.0,3.0,2769.0,2769.0,,12.0,2.0,3.0,1.0,1.0,14.0,villa,furnished,east,0,17.492871,78.239079
J69535274,unknown,unknown,14500000.0,3.0,2769.0,2769.0,,12.0,2.0,3.0,1.0,14.0,14.0,villa,furnished,east,0,17.583578247277302,78.1082316073572
J69534866,unknown,unknown,14500000.0,3.0,2769.0,2769.0,,12.0,2.0,3.0,1.0,6.0,14.0,villa,furnished,east,0,17.542319,78.226934
D69535074,unknown,unknown,14500000.0,3.0,2769.0,2769.0,,12.0,2.0,3.0,1.0,6.0,14.0,villa,furnished,east,0,17.548606,78.210422
E69551634,unknown,unknown,7500000.0,3.0,2070.0,2070.0,,12.0,1.0,2.0,1.0,0.0,14.0,villa,furnished,east,0,17.563151,78.296336
G69551718,unknown,unknown,7500000.0,3.0,2070.0,2070.0,,12.0,1.0,2.0,1.0,1.0,14.0,villa,furnished,north-east,0,17.555324,78.308221
K68838640,unknown,unknown,13600000.000000002,3.0,2090.0,2090.0,,12.0,5.0,9.0,2.0,15.0,30.0,flat,semi-furnished,north-east,0,17.3954823,78.3370988
O70977948,unknown,unknown,19000000.0,3.0,1796.0,1796.0,,12.0,6.0,36.0,1.0,13.0,3.0,flat,semi-furnished,east,0,17.402291123438,78.338167423361
