BEDROOM_NUM_CLEAN,TOTAL_FLOOR,FEATURE_COUNT,AMENITY_COUNT,LANDMARK_COUNT,FLOOR_RATIO,BALCONY_NUM,AREA_SQFT,LATITUDE,LONGITUDE,LISTING_AGE_DAYS,IS_READY_TO_MOVE,IS_UNDER_CONSTR,IS_RERA,IS_RESALE,IS_NEW_BOOKING,IS_VERIFIED,HAS_SOCIETY,IS_TOP_FLOOR,IS_GROUND_FLOOR,PROP_TYPE_CLEAN,FURNISH_LABEL,FACING_LABEL,AGE_LABEL,AREA_BUCKET,BALCONY_BUCKET,LOCALITY,TARGET_PRICE_SQFT,FLOOR_RATIO_WAS_MISSING,BALCONY_NUM_WAS_MISSING,BEDROOM_NUM_CLEAN_WAS_MISSING,TOTAL_FLOOR_WAS_MISSING
2.0,4.0,1,2,49.0,0.25,1.0,819.0,17.38504,78.48667,90.0,1,0,0,1,0,0,1,0,0,Apartment,Semi_Furnished,Unknown,5_10_yrs,Small,1,: ,4639.0,0,0,0,0
3.0,15.0,23,25,15.0,0.4666666666666667,1.0,1525.0,17.568049,78.47042,7.0,1,0,1,1,0,1,1,0,0,Apartment,Semi_Furnished,East,Resale_Very_Old,Medium,1,: ,6360.0,0,0,0,0
3.0,14.0,10,10,11.0,0.9285714285714286,2.0,1754.0,17.459904,78.306975,150.0,0,1,1,1,0,0,1,0,0,Apartment,Unfurnished,West,Resale_Old,Medium,2,Nallagandla,6200.0,0,0,0,0
3.0,5.0,17,18,49.0,0.6,3.0,1818.0,17.456025,78.448549,90.0,1,0,0,1,0,0,1,0,0,Apartment,Furnished,East,0_5_yrs,Large,3+,: ,9625.0,0,0,0,0
2.0,5.0,1,1,48.0,1.0,2.0,927.0,17.419033,78.444699,30.0,1,0,0,1,0,0,1,1,0,Apartment,Semi_Furnished,Unknown,0_5_yrs,Small,2,: ,8629.0,0,0,0,0
3.0,15.0,18,18,49.0,0.5333333333333333,4.0,2385.0,17.407219,78.390645,60.0,1,0,0,1,0,1,1,0,0,Apartment,Semi_Furnished,East,Resale_Very_Old,Large,3+,: ,9450.0,0,0,0,0
2.0,10.0,5,5,4.0,0.5,1.0,918.0,17.520188,78.344915,30.0,0,1,1,1,0,0,1,0,0,Apartment,Semi_Furnished,Unknown,Resale_Old,Small,1,: ,7080.0,0,0,0,0
3.0,31.0,24,27,15.0,0.5384615384615384,1.0,1695.0,17.4223092,78.3512067,30.0,1,0,0,1,0,1,1,0,0,Apartment,Furnished,North,Under_Construction,Medium,1,: ,11000.0,1,0,0,0
4.0,3.0,4,4,37.0,0.5384615384615384,2.0,1692.0,17.538237,78.480804,60.0,0,1,0,1,0,1,1,0,0,Villa,Semi_Furnished,Unknown,Resale_Old,Medium,2,: ,132978.0,1,0,0,0
2.0,1.0,4,4,0.0,0.5384615384615384,2.0,5445.0,17.42169,78.21842,30.0,1,0,0,1,0,0,0,0,0,Farmhouse,Semi_Furnished,Unknown,Resale_Very_Old,XXL,2,: ,13223.0,1,0,0,0
